Counts,Antigen
13774,CD8
12590,CD8
12592,CD8
12180,CD8
12030,CD8
11263,CD8
10949,CD8
10857,CD8
10772,CD8
10790,CD8
10070,CD8
9737,CD8
4436,CD8
9487,CD8
9406,CD8
9319,CD8
9259,CD8
9177,CD8
9111,CD8
9092,CD8
9019,CD8
8996,CD8
8979,CD8
8737,CD8
8596,CD8
8534,CD8
8421,CD8
8308,CD8
8194,CD8
1728,CD8
8152,CD8
8072,CD8
7968,CD8
7837,CD8
7878,CD8
7839,CD8
7792,CD8
7681,CD8
7678,CD8
7586,CD8
7564,CD8
7544,CD8
7488,CD8
7496,CD8
7560,CD8
7465,CD8
7442,CD8
7282,CD8
7382,CD8
7205,CD8
7234,CD8
7191,CD8
7144,CD8
7032,CD8
7077,CD8
5209,CD8
6865,CD8
6885,CD8
6813,CD8
6584,CD8
6737,CD8
6667,CD8
6651,CD8
6604,CD8
6604,CD8
6636,CD8
6530,CD8
6572,CD8
6546,CD8
6436,CD8
6367,CD8
6434,CD8
6400,CD8
6403,CD8
6389,CD8
6346,CD8
6400,CD8
6357,CD8
6236,CD8
6108,CD8
6165,CD8
6096,CD8
6168,CD8
6004,CD8
5637,CD8
6003,CD8
5996,CD8
5916,CD8
5895,CD8
5906,CD8
5908,CD8
5873,CD8
5867,CD8
5860,CD8
5695,CD8
5853,CD8
5813,CD8
5668,CD8
5640,CD8
5660,CD8
5607,CD8
602,CD8
5579,CD8
5524,CD8
5564,CD8
5514,CD8
5433,CD8
5481,CD8
5456,CD8
5341,CD8
5408,CD8
5466,CD8
5400,CD8
5453,CD8
5408,CD8
5344,CD8
5248,CD8
5242,CD8
5206,CD8
5183,CD8
5126,CD8
5168,CD8
5093,CD8
5119,CD8
5126,CD8
5202,CD8
5099,CD8
670,CD8
5074,CD8
5078,CD8
5054,CD8
5067,CD8
5055,CD8
5032,CD8
5054,CD8
5019,CD8
4970,CD8
4992,CD8
5023,CD8
4953,CD8
4928,CD8
4880,CD8
4945,CD8
4849,CD8
4901,CD8
4888,CD8
4918,CD8
4809,CD8
4839,CD8
4698,CD8
4773,CD8
4812,CD8
4684,CD8
4554,CD8
4725,CD8
4711,CD8
4717,CD8
4662,CD8
4695,CD8
4659,CD8
4636,CD8
4613,CD8
4614,CD8
4584,CD8
4528,CD8
4564,CD8
4537,CD8
4512,CD8
4505,CD8
4515,CD8
4571,CD8
4224,CD8
4455,CD8
4420,CD8
4428,CD8
4350,CD8
4287,CD8
4362,CD8
4386,CD8
4394,CD8
4355,CD8
4338,CD8
4387,CD8
4378,CD8
4268,CD8
4371,CD8
4308,CD8
4325,CD8
4323,CD8
4302,CD8
4175,CD8
4247,CD8
4228,CD8
4197,CD8
4061,CD8
4167,CD8
4177,CD8
4092,CD8
4091,CD8
4076,CD8
4052,CD8
4062,CD8
4084,CD8
4032,CD8
3913,CD8
3927,CD8
3948,CD8
3974,CD8
3928,CD8
3878,CD8
3912,CD8
3857,CD8
3824,CD8
3803,CD8
3842,CD8
3877,CD8
3841,CD8
