p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
0	-1.20295784418524	0.137	0.809	0	CD8A
1.70147628079384e-237	-0.724637697340672	0.044	0.548	3.34748443483379e-233	CD8B
1.98906705240035e-204	-0.811474213168789	0.101	0.611	3.91329051889245e-200	KLRC4-KLRK1
7.52612460315796e-95	-0.379713597649741	0.043	0.309	1.4806897544253e-90	KLRK1
3.59570549505554e-88	-0.543644646456705	0.2	0.542	7.07419099097227e-84	CRTAM
6.28892655792615e-76	-0.513939213843509	0.657	0.862	1.23728341100639e-71	RUNX3
1.09720310649283e-70	0.588040157181039	0.625	0.309	2.158637391714e-66	ANKRD55
4.2103318686392e-57	0.418997148402731	0.913	0.792	8.28340691836075e-53	INPP4B
6.2728974445763e-56	-0.413077582018694	0.193	0.469	1.23412984324594e-51	YBX3
5.61285929143288e-53	0.403387542164101	0.365	0.085	1.1042739369965e-48	CD4
3.62374232065899e-52	0.418773430705356	0.856	0.691	7.1293506416645e-48	PLCL1
4.06049815448459e-50	0.523265541258842	0.641	0.384	7.98862406913298e-46	TSHZ2
5.75153468027582e-49	-0.396844958705132	0.297	0.578	1.13155693299746e-44	NCALD
4.75808230924429e-48	-0.393144680443285	0.524	0.782	9.36105113520723e-44	FAM129A
9.31622539910774e-45	-0.215800583904119	0.017	0.141	1.83287418502046e-40	NKG7
1.86421494568432e-43	-0.473876149326179	0.227	0.464	3.66765648413934e-39	ZEB2
7.19634111945379e-42	-0.246546536130722	0.081	0.268	1.41580815184134e-37	PRF1
1.47149265295399e-41	-0.356192721854045	0.083	0.264	2.89501464542168e-37	GAS7
2.06638716741159e-41	-0.388418920812909	0.537	0.772	4.06541011316556e-37	PREX1
1.10615132824743e-40	-0.387542912062703	0.118	0.319	2.176242123194e-36	PARD6G
5.07357520832558e-39	0.338563590185307	0.354	0.114	9.98175186485975e-35	ADTRP
5.53935385406232e-36	0.390434657400827	0.639	0.419	1.08981247724822e-31	ST6GALNAC3
1.30393654293246e-35	-0.422032635505683	0.741	0.841	2.56536475456531e-31	ARHGAP26
1.86308776916222e-35	-0.255472585611317	0.169	0.378	3.66543887704975e-31	ABI3
2.31866752646461e-35	-0.122834659994058	0.023	0.138	4.56174649156648e-31	KLRC4
3.02112747413975e-35	0.363367016965128	0.691	0.487	5.94376619262254e-31	ANK3
5.106676574237e-35	-0.372117278421176	0.613	0.79	1.00468754921539e-30	GTDC1
1.08914938555419e-34	-0.260489294451565	0.038	0.166	2.1427925011393e-30	CCL5
9.02770666787011e-34	-0.299275132981969	0.142	0.333	1.77611100983677e-29	CST7
3.11903726029561e-33	-0.341349341122368	0.106	0.273	6.13639390590558e-29	METRNL
4.72704358717986e-33	0.25304838884471	0.259	0.059	9.29998555341766e-29	CD40LG
8.82946227324076e-32	-0.316877836871029	0.309	0.531	1.73710840763739e-27	ALOX5AP
7.35180804985793e-31	0.34855313592313	0.612	0.419	1.44639471572905e-26	IL6R
7.76728699916723e-31	-0.427267767919369	0.613	0.753	1.52813604421616e-26	CMIP
1.1612655170693e-30	0.3175436399585	0.7	0.519	2.28467377828214e-26	RP11-514O12.4
2.17166277837707e-30	-0.293490380845568	0.181	0.369	4.27252935017905e-26	KLRD1
4.76216070995223e-30	-0.318233597761769	0.335	0.553	9.36907498076002e-26	CHN2
5.29170080717061e-30	-0.130070079066064	0.024	0.128	1.04108921680275e-25	FGFBP2
6.10165056339501e-30	-0.285105640117043	0.16	0.343	1.20043873184233e-25	ROR2
