p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
3.13041295257482e-73	-2.54051056466801	0.106	0.82	6.22670440396658e-69	CD8A
3.17841570553815e-60	-2.12322962049147	0.04	0.645	6.32218667988593e-56	KLRC4-KLRK1
1.23766700355564e-46	-2.68468757806738	0.048	0.55	2.46184343677252e-42	CD8B
6.70457065141786e-29	-2.15301557863403	0.018	0.336	1.33360614827353e-24	KLRK1
1.97674102521622e-27	-1.74211708598446	0.104	0.479	3.93193557325758e-23	KLRD1
8.2776097146809e-25	-1.25612043773661	0.182	0.55	1.64649934834718e-20	ZEB2
9.33436828457537e-24	-1.3565626498086	0.242	0.616	1.85669919548489e-19	CRTAM
3.35867622893982e-21	-1.87620697198621	0.04	0.318	6.68074288698419e-17	FGFBP2
4.83628604390298e-18	-1.30201449122155	0.199	0.502	9.61985656992741e-14	EFNA5
6.31349897712185e-18	-0.527834752522638	0.54	0.787	1.25581808153931e-13	RIN3
4.66767018789476e-16	-1.40848111408177	0.048	0.284	9.28446277074146e-12	SLAMF7
1.59114060957468e-15	-0.701493806248758	0.184	0.488	3.164937786505e-11	CHN2
3.24886639396172e-15	-0.491213305760086	0.722	0.877	6.46232014422927e-11	ARHGAP26
5.5419741874519e-15	-0.710513701819701	0.515	0.782	1.10235408562606e-10	RUNX3
8.02840546097552e-15	-1.16538132677273	0.093	0.346	1.59693013024264e-10	NT5E
1.29864074448793e-14	-2.67456419077891	0.003	0.152	2.58312630486094e-10	KLRC4
1.33995574876045e-14	1.70753441719091	0.316	0.047	2.6653059798594e-10	CD4
2.46501935933558e-14	-1.65045557675429	0.068	0.299	4.9031700076544e-10	PRF1
3.7167865676894e-14	-0.78176683468621	0.152	0.403	7.39306016179098e-10	PIK3AP1
5.41480262443066e-14	-0.826619382058792	0.25	0.531	1.0770583900255e-09	MCTP2
6.2227874392982e-14	-1.16230721899694	0.106	0.355	1.23777464955081e-09	YBX3
6.23872271041804e-14	-1.6370227329677	0.061	0.275	1.24094433432925e-09	PARD6G
1.82747627521097e-13	-1.07559524254548	0.146	0.403	3.63503305902215e-09	CADM1
1.96507013473558e-13	-0.601410392417756	0.152	0.412	3.90872100500254e-09	GAS7
2.06085271287128e-13	0.646420011552357	0.778	0.573	4.09924213117226e-09	PLCL1
8.27300930521379e-13	-0.660280044723222	0.361	0.649	1.64558428090007e-08	NCALD
1.29455385710399e-12	-2.13123194003428	0.02	0.18	2.57499707716556e-08	ASTL
4.53681882476537e-12	-0.434874751464344	0.848	0.953	9.02418632434081e-08	PIP4K2A
5.26149117468332e-12	-0.674022670327719	0.313	0.588	1.04656320955626e-07	PPP2R2B
5.29880091156592e-12	-1.35985683677452	0.164	0.398	1.05398448931958e-07	JAKMIP1
5.87507369718884e-12	-0.619372517217428	0.452	0.711	1.16861090910783e-07	AOAH
7.8989269564083e-12	-0.826632630099121	0.144	0.379	1.57117556089918e-07	C1orf21
1.9411608587554e-11	-1.11082371292246	0.139	0.374	3.86116306415037e-07	F2R
2.60989701876385e-11	-0.686548051940223	0.149	0.389	5.19134616002318e-07	SORCS2
3.81053257435728e-11	-1.35429314754066	0.063	0.251	7.57953034365407e-07	MMP24
4.58864588688835e-11	-1.64634579150822	0.02	0.166	9.12727553360961e-07	GZMB
7.67358320493529e-11	-0.945554078119508	0.043	0.209	1.52635243529368e-06	METRNL
8.09608307750842e-11	1.90492451715098	0.242	0.033	1.6103918849472e-06	CD40LG
9.2662761236104e-11	0.443124499536087	0.669	0.427	1.84315498374734e-06	PARD3B
1.45798592091586e-10	-1.20035888345352	0.104	0.308	2.90007979529373e-06	EOMES
1.67532750115622e-10	1.06530114076601	0.422	0.185	3.33239393254983e-06	TARBP1
1.77137802445186e-10	-0.937730900931827	0.104	0.308	3.5234480284372e-06	PROM1
2.12624608161717e-10	0.697765026056643	0.649	0.455	4.2293160809447e-06	TLK1
2.13539211589951e-10	-0.615647612012122	0.212	0.431	4.24750845773572e-06	SETBP1
2.17312760485155e-10	-0.503396731821545	0.51	0.725	4.32256811881022e-06	GTDC1
2.80565194757694e-10	-0.92748553396515	0.172	0.393	5.5807222889253e-06	B4GALT5
3.30624302933018e-10	0.536664766198904	0.51	0.232	6.57644800964066e-06	SETD7
3.4176242690445e-10	-0.926220935815967	0.056	0.223	6.79799643355642e-06	OSBPL5
3.54761876163736e-10	-1.54417605822698	0.025	0.166	7.05656847877287e-06	SLC1A7
