FSCA	EGFP	classification
871325.4	859471.5	high
1002451	616450.4	high
665021.6	451423.2	high
563751.4	437303.7	high
579904.3	414076.2	high
523653.2	404707.1	high
642682.3	403267.8	high
762048.2	390586.3	high
524441.7	377820.8	high
597579.6	375490.4	high
678186	362725.8	high
524975	351585.4	high
514742.5	343409.8	high
899944.3	342786.5	high
543154.8	342623	high
780513.2	338541.7	high
636707.1	336969.8	high
656749.5	335805.3	high
582360.6	329330.9	high
572550.3	327384.9	high
479428.1	325758.8	high
671651.2	320073.1	high
588267.5	319117.9	high
537628	318925.9	high
545950.1	318561.3	high
658213.1	316684.3	high
638779.9	314188.4	high
560458.2	313666.8	high
671478	312168.1	high
562390.9	311965.4	high
554217.8	311086.4	high
548550.3	310211.3	high
419640.4	307965.9	high
669390.5	306636.2	high
502948.6	303034.9	high
661492.3	302619.6	high
555821.5	299821.3	high
399554.5	299212.6	high
429818	297720.2	high
633002.7	295324.2	high
624686.7	289529.1	high
646326.8	289359.2	high
666869.3	288720.3	high
580450	288606.8	high
572520.5	285631.9	high
621454	283931.5	high
444306.3	283330	high
544970.9	281761.2	high
682076.9	280785.7	high
566030	276269.2	high
479468	274676.5	high
486924.2	273553.5	high
594017.8	271483.3	high
613545.3	271243.6	high
534126.9	271089.9	high
734401.3	270313.4	high
325979.2	268665.8	high
531710.4	268482.7	high
587143.6	268128.8	high
400258.5	267798.9	high
351554.5	267255.6	high
530379	265484.3	high
912771.9	264670.4	high
637278.5	264321.2	high
706045.1	263632.9	high
628303.4	263014	high
703430.2	261920.3	high
572619.6	261570	high
585154.2	261474.7	high
517978.6	259832.5	high
577776.6	257493.7	high
580571.6	256873.8	high
656760.3	256677.8	high
589371.9	255946	high
528845.8	252245.6	high
534147.6	252167	high
502128.3	251967.4	high
464600	249205	high
394756.7	248905.6	high
690982.6	248160	high
665888.7	247243.2	high
439074.9	246865.6	high
413523.7	246609.5	high
344029.6	246565.9	high
510178.2	245691.3	high
578877.2	241553.5	high
477150	240982	high
579155.5	238279.8	high
537353	235417.5	high
588313.4	234733	high
556517	234520.6	high
547007.6	233572.2	high
301073.2	232921.3	high
552198.2	231453.2	high
527956.9	231114.5	high
535439.2	230143.5	high
631431	228982.5	high
518088.3	228007.7	high
244178.1	226487	high
755778.5	224646.3	high
637954.5	223862.8	high
584942.6	222935.5	high
456879.5	222806	high
501070.4	222805.2	high
936899.4	221871.9	high
555861.8	221499.5	high
565864.7	220115.2	high
431591.7	219620.8	high
591232.7	217491.5	high
662635.6	217455.8	high
676869.1	216426.7	high
335758.2	215744.5	high
539132.5	215546	high
420596.5	215259.3	high
516710.4	214948.4	high
424569.9	214642.8	high
584701	213531.1	high
506339.8	213520	high
505059.7	213357.8	high
662677.1	212564.3	high
645419.3	211426.7	high
529534.2	209608	high
527713	209502.5	high
723153.9	209238.8	high
474365.1	208100.4	high
530492.8	206791.7	high
462650	206260	high
435950.8	206091.6	high
470829.3	205627.9	high
422590.5	205168.8	high
322873.3	204431.7	high
591271.1	199271.2	high
638191.6	199095.1	high
922847.3	198772.7	high
507961.6	198768	high
433314.3	197412.5	high
573957.2	197059.5	high
658992.3	196903.5	high
630801	195794.3	high
559807.6	195642.6	high
750531.4	193864.8	high
560911	191921.5	high
330635	191735.3	high
596496.4	190836.8	high
599647.4	189832.8	high
563144.5	189556	high
323141	189363.3	high
351129.3	189062.4	high
545434.1	188505	high
693320.6	186152.8	high
308397.3	185819.2	high
505987.4	185577.9	high
312623.7	185566.7	high
459579.2	185261.8	high
483910.8	184629.2	high
441010.3	184001.8	high
367332.5	183265	high
662538.9	183036.7	high
